Chr	gene_name	geneStart	geneEnd	exon_count
1	SAMD11	925941	944152	13
1	NOC2L	944693	959239	19
1	PLEKHN1	966531	974574	16
1	HES4	999058	999972	4
1	ISG15	1013573	1014477	2
1	C1orf159	1082892	1091542	8
1	TTLL10	1180053	1185141	8
1	TNFRSF18	1203590	1206570	4
1	TNFRSF18	1203843	1206570	5
1	TNFRSF4	1211554	1214126	7
1	SDF4	1217669	1228792	6
1	B3GALT6	1232278	1233267	1
1	UBE2J2	1255202	1267991	6
1	UBE2J2	1255202	1267991	7
1	UBE2J2	1255202	1263360	5
1	UBE2J2	1232589	1243294	4
1	SCNN1D	1219404	1226989	13
1	ACAP3	1293563	1307814	24
1	PUSL1	1308643	1311378	8
1	CPSF3L	1311858	1324607	17
1	DVL1	1336141	1349064	15
1	DVL1	1261384	1264926	6
1	MXRA8	1353603	1358503	10
1	AURKAIP1	1373800	1374755	3
1	MRPL20	1402082	1407216	4
1	VWA1	1435748	1439786	3
1	VWA1	1435748	1437442	2
1	ATAD3C	1483318	1489361	2
1	ATAD3B	1471884	1495816	16
1	ATAD3A	1512268	1534071	16
1	SSU72	1542065	1574556	5
1	SLC35E2	1732454	1739556	5
1	GNB1	1787330	1825452	9
1	TMEM52	1917881	1919264	5
1	GABRD	2019423	2030281	9
1	PRKCZ	2050630	2185008	18
1	FAAP20	2189708	2194748	4
1	SKI	2228766	2306764	7
1	MORN1	2321382	2391532	14
1	PEX10	2405765	2412501	6
1	FAM213B	2586795	2589426	7
1	ACTRT2	3021686	3022819	1
1	ARHGEF16	3463084	3480586	14
1	TPRG1L	3625072	3628602	5
1	WRAP73	3630974	3649998	12
1	TP73	3682365	3733078	13
1	CCDC27	3752481	3771522	12
1	LRRC47	3781087	3796475	7
1	DFFB	3857603	3883740	7
1	C1orf174	3889959	3900185	4
1	AJAP1	4655425	4774498	5
1	KCNAB2	6040568	6098573	15
1	KCNAB2	6040568	6098573	14
1	CHD5	6106279	6180022	41
1	RPL22	6186671	6199572	4
1	RNF207	6206535	6219406	17
1	C1orf188	6192114	6194686	5
1	ICMT	6225079	6235910	5
1	ICMT	6219405	6227964	3
1	LINC00337	6221280	6221570	1
1	GPR153	6249337	6254904	5
1	ACOT7	6264596	6385665	9
1	ACOT7	6264596	6360651	9
1	ACOT7	6264596	6358844	9
1	ESPN	6424955	6460145	13
1	TNFRSF25	6461433	6466106	10
1	TNFRSF25	6461433	6466106	10
1	TNFRSF25	6461433	6466106	9
1	TNFRSF25	6461433	6466106	9
1	TNFRSF25	6461433	6466106	5
1	TNFRSF25	6456447	6460432	4
1	TNFRSF25	6456985	6460432	7
1	TNFRSF25	6457233	6460432	6
1	PLEKHG5	6467562	6477570	20
1	NOL9	6525853	6554501	12
1	TAS1R1	6555373	6579583	6
1	TAS1R1	6555373	6579583	5
1	TAS1R1	6615433	6638894	4
1	ZBTB48	6580609	6589211	10
1	PHF13	6614066	6621636	4
1	THAP3	6625218	6634087	5
1	DNAJC11	6635674	6701799	16
1	VAMP3	7771383	7779644	5
1	PER3	7784877	7842754	21
1	UTS2	7847765	7853430	5
1	UTS2	7847765	7853002	4
1	TNFRSF9	7920834	7939993	7
1	PARK7	7962785	7985053	6
1	ERRFI1	8013209	8015618	3
1	RERE	8355086	8656296	22
1	ENO1	8861359	8874907	11
1	SLC2A7	9003299	9026344	12
1	SLC2A5	9037585	9069535	12
1	GPR157	9104418	9129026	4
1	H6PD	9244934	9264868	4
1	SPSB1	9355891	9367574	2
1	SLC25A33	9539691	9582500	7
1	PIK3CD	9710455	9727045	22
1	CLSTN1	9730507	9823732	18
1	CTNNBIP1	9850717	9872063	3
1	LZIC	9930398	9936618	6
1	NMNAT1	9972073	9982700	4
1	RBP7	9997258	10015831	4
1	UBE4B	10033670	10179955	27
1	KIF1B	10232328	10376586	46
1	KIF1B	10232328	10304646	20
1	PGD	10399117	10419748	13
1	APITD1-CORT	10430517	10451594	5
1	APITD1	10430517	10442404	5
1	APITD1	10493964	10502461	4
1	CORT	10450223	10451594	2
1	DFFA	10461489	10472457	6
1	DFFA	10463033	10472457	5
1	CASZ1	10647796	10693888	13
1	C1orf127	11007719	11024252	7
1	TARDBP	11013727	11022653	5
1	MASP2	11026884	11047206	11
1	MASP2	11044939	11047206	5
1	SRM	11054864	11059942	8
1	EXOSC10	11066717	11099830	24
1	MTOR	11107484	11259408	57
1	ANGPTL7	11189579	11195022	5
1	UBIAD1	11273531	11286130	2
1	FBXO2	11648693	11654339	6
1	FBXO44	11655835	11661304	4
1	FBXO44	11655835	11661272	5
1	FBXO6	11668658	11673850	5
1	MAD2L2	11674774	11680600	8
1	DRAXIN	11706258	11719695	6
1	AGTRAP	11736208	11750191	5
1	MTHFR	11790679	11803115	11
1	CLCN6	11806262	11840222	23
1	NPPA	11846008	11847683	3
1	NPPB	11857654	11858832	3
1	KIAA2013	11920314	11926236	3
1	PLOD1	11934779	11974807	19
1	MIIP	12021726	12031807	9
1	TNFRSF8	12063598	12142530	15
1	TNFRSF1B	12167091	12207019	10
1	DHRS3	12568339	12617347	6
1	C1orf158	12746430	12760950	4
1	PRAMEF1	12793227	12795995	3
1	PRAMEF2	12859009	12861778	3
1	PRDM2	13715605	13816546	8
1	PRDM2	13715605	13786526	8
1	KAZN	14598997	15114634	15
1	TMEM51-AS1	15319774	15351495	4
1	TMEM51	15215087	15219742	2
1	EFHD2	15409971	15428723	4
1	CTRC	15438464	15446588	8
1	CELA2A	15456753	15472006	8
1	CASP9	15492942	15524199	9
1	CASP9	15492942	15518277	8
1	AGMAT	15573650	15584966	7
1	RSC1A1	15659868	15661721	1
1	SLC25A34	15736485	15739405	5
1	FBLIM1	15764983	15784660	7
1	SPEN	15848067	15939426	15
1	ZBTB17	15941968	15948494	14
1	C1orf64	16004303	16006345	2
1	CLCNKA	16022619	16033657	19
1	CLCNKB	16044492	16056915	19
1	EPHA2	16125214	16155931	17
1	ARHGEF19	16198586	16209053	15
1	RSG1	16232047	16236741	5
1	SPATA21	16398764	16431370	11
1	NECAP2	16440761	16458889	8
1	MFAP2	16974919	16978272	8
1	ATP13A2	16986220	17011737	29
1	SDHB	17018880	17054018	8
1	PADI2	17069043	17119370	16
1	PADI1	17205217	17244242	16
1	PADI3	17249137	17283078	16
1	PADI4	17308222	17363754	16
1	RCC2	17409089	17438513	12
1	ARHGEF10L	17580595	17697379	28
1	ACTL8	17823008	17826518	2
1	IGSF21	18108128	18378325	10
1	KLHDC7A	18480981	18483314	1
1	PAX7	18631603	18736038	8
1	TAS1R2	18839598	18859659	6
1	ALDH4A1	18872844	18902522	15
1	UBR4	19074831	19210247	106
1	EMC1	19219302	19251508	23
1	MRTO4	19251835	19258829	8
1	AKR7A3	19282730	19288708	7
1	AKR7A2	19304224	19312123	7
1	PQLC2	19317677	19328642	7
1	NBL1	19655030	19657128	3
1	HTR6	19665753	19679367	3
1	TMCO4	19683039	19780757	13
1	RNF186	19814417	19815100	1
1	PLA2G2E	19920306	19923558	4
1	PLA2G2A	19975700	19978772	4
1	PLA2G5	20084830	20090691	4
1	PLA2G2D	20114113	20119497	4
1	PLA2G2F	20139427	20148400	5
1	UBXN10	20190561	20191403	1
1	VWA5B1	20408122	20421071	7
1	CAMK2N1	20483648	20485378	2
1	MUL1	20500689	20508023	4
1	FAM43B	20552973	20553962	1
1	CDA	20589129	20618567	4
1	PINK1	20633548	20650690	8
1	DDOST	20652378	20661400	11
1	KIF17	20664583	20717705	15
1	EIF4G3	20807318	21002741	30
1	ECE1	21219954	21290413	19
1	NBPF3	21445086	21483385	14
1	ALPL	21554081	21577647	11
1	RAP1GAP	21597719	21620031	21
1	CELA3B	21977039	21989278	8
1	CELA3A	22001674	22012466	8
1	CDC42	22078478	22091516	5
1	CDC42	22078478	22090031	5
1	WNT4	22120049	22142921	5
1	ZBTB40	22489948	22526395	17
1	EPHA8	22563635	22601740	17
1	C1QA	22637616	22639406	2
1	C1QC	22644023	22647782	2
1	C1QB	22659456	22661385	2
1	EPHB2	22710982	22913569	16
1	EPHB2	22710982	22913569	16
1	HTR1D	23193085	23194218	1
1	HNRNPR	23310453	23341007	10
1	ZNF436	23361968	23368004	3
1	ZNF436-AS1	23695790	23696170	1
1	ASAP3	23429855	23484132	25
1	E2F2	23509879	23530792	7
1	ID3	23558959	23559425	2
1	RPL11	23691823	23696372	6
1	TCEB3	23743425	23759572	11
1	PITHD1	23778515	23787375	6
1	LYPLA2	23792682	23794731	9
1	GALE	23795948	23799006	10
1	HMGCL	23802462	23825414	9
1	FUCA1	23845714	23868285	8
1	CNR2	23874534	23875616	1
1	PNRC2	23961457	23961876	1
1	IL22RA1	24120804	24143081	7
1	IFNLR1	24157129	24187247	7
1	IFNLR1	24157129	24187247	7
1	IFNLR1	24157826	24187247	6
1	GRHL3	24323085	24354487	16
1	GRHL3	24319551	24364370	16
1	STPG1	24358542	24401365	7
1	RCAN3	24514372	24535276	4
1	SRRM1	24643326	24672285	17
1	CLIC4	24745553	24840936	6
1	RUNX3	24902121	24929867	5
1	SYF2	25223265	25232466	6
1	SYF2	25223265	25232466	7
1	RSRP1	25242588	25246962	4
1	RHD	25272547	25328923	10
1	TMEM50A	25340486	25360704	6
1	MAN1C1	25617797	25783788	12
1	AUNIP	25834992	25859356	3
1	PAQR7	25862798	25863838	1
1	C1orf215	26083771	26084391	1
1	STMN1	25901015	25904675	4
1	PAFAH2	25961988	25990815	10
1	EXTL1	26022646	26035346	11
1	SLC30A2	26039159	26045895	7
1	TRIM63	26051872	26067493	9
1	PDIK1L	26114308	26122576	2
1	ZNF593	26169983	26170715	3
1	CNKSR1	26177547	26189547	21
1	CEP85	26239783	26277292	13
1	SH3BGRL3	26280155	26281122	3
1	ZNF683	26361650	26368570	5
1	LIN28A	26410891	26426457	4
1	DHDDS	26432945	26469130	8
1	DHDDS	26432945	26469130	8
1	HMGN2	26472612	26475147	6
1	RPS6KA1	26529920	26574200	22
1	ARID1A	26696403	26780755	20
1	ARID1A	26707036	26786232	18
1	PIGV	26790815	26797843	3
1	SFN	26863212	26863958	1
1	GPN2	26879676	26890095	5
1	GPATCH3	26891009	26900441	7
1	NR0B2	26911844	26913939	2
1	NUDC	26921848	26946180	9
1	KDF1	26950068	26952379	3
1	FAM46B	27005943	27012669	2
1	SLC9A1	27100306	27154333	12
1	WDTC1	27261054	27306382	15
1	TMEM222	27322197	27335465	6
1	SYTL1	27345334	27353851	14
1	MAP3K6	27355390	27366596	29
1	FCN3	27369235	27374817	8
1	FCN3	27369235	27374817	7
1	CD164L2	27380046	27383238	5
1	GPR3	27393798	27394790	1
1	WASF2	27408188	27428889	8
1	FGR	27612913	27623915	11
1	IFI6	27666380	27669313	4
1	IFI6	27666380	27669313	4
1	IFI6	27666380	27669313	4
1	FAM76A	27726080	27760580	9
1	STX12	27773307	27822328	9
1	PPP1R8	27830835	27850445	7
1	PPP1R8	27841168	27850445	4
1	PPP1R8	27847062	27850445	2
1	RPA2	27892162	27914442	9
1	XKR8	27960069	27967199	3
1	EYA3	27974465	28058025	17
1	EYA3	28008998	28068678	12
1	PTAFR	28149992	28151020	1
1	ATPIF1	28236183	28237977	3
1	ATPIF1	28236183	28237796	3
1	SESN2	28259847	28280801	10
1	MED18	28330662	28334969	2
1	RCC1	28529866	28538006	9
1	TRNAU1AP	28553110	28577635	9
1	RAB42	28593799	28594116	1
1	TAF12	28603538	28622080	5
1	GMEB1	28683612	28714772	9
1	GMEB1	28683612	28714772	9
1	OPRD1	28812383	28863282	3
1	EPB41	28987437	29115796	15
1	EPB41	28993488	29115796	15
1	EPB41	28993488	29115796	17
1	SRSF4	29148409	29181751	6
1	PTPRU	29236644	29325660	31
1	PTPRU	29236644	29325660	30
1	MATN1	30713581	30723550	8
1	LAPTM5	30733827	30757744	8
1	PUM1	30933210	31059565	21
1	NKAIN1	31181702	31239546	7
1	SNRNP40	31260071	31296750	10
1	ZCCHC17	31310098	31364192	7
1	FABP3	31365885	31373013	4
1	TINAGL1	31577148	31586978	11
1	HCRTR1	31619192	31626979	7
1	PEF1	31630612	31644863	5
1	ADGRB2	32193020	32222821	31
1	SPOCD1	31790602	31815332	15
1	PTP4A2	31908851	31919064	5
1	PTP4A2	32374501	32384665	3
1	KHDRBS1	32013995	32042623	9
1	TMEM39B	32073047	32102672	9
1	KPNA6	32108130	32170893	14
1	TXLNA	32180345	32195194	10
1	CCDC28B	32201935	32205247	5
1	IQCC	32205681	32208081	5
1	TMEM234	32216852	32222321	5
1	EIF3I	32222441	32231195	11
1	FAM167B	32247421	32248600	2
1	LCK	32274329	32285715	12
1	HDAC1	32292169	32333043	14
1	MARCKSL1	32334596	32336032	2
1	TSSK3	32362701	32364255	2
1	BSDC1	32366621	32394413	11
1	ZBTB8OS	32621861	32650564	7
1	RBBP4	32651306	32679704	12
1	SYNC	32681849	32702659	5
1	YARS	32775980	32817243	13
1	FNDC5	32864293	32870745	6
1	HPCA	32888898	32893861	3
1	TMEM54	32894804	32901237	6
1	RNF19B	32936805	32964684	9
1	AK2	33010828	33036827	7
1	AK2	33013180	33036827	6
1	AZIN2	33082249	33120181	9
1	TRIM62	33147176	33181431	5
1	ZNF362	33270574	33299045	8
1	PHC2	33324864	33375538	14
1	PHC2	33324864	33334241	6
1	CSMD2	33519517	34165812	69
1	C1orf94	34197474	34218760	6
1	GJB5	34757330	34758151	1
1	GJB4	34761254	34762054	1
1	GJB3	34784762	34785574	1
1	MGC14276	35111534	35112088	1
1	ZMYM6	34987103	35030638	15
1	SFPQ	35184455	35193048	10
1	ZMYM4	35269046	35419676	30
1	KIAA0319L	35434893	35554490	20
1	KIAA0319L	35679205	35792678	19
1	NCDN	35558190	35565662	7
1	TFAP2E	35573577	35594675	7
1	PSMB2	35603266	35641431	6
1	C1orf216	35715631	35716320	1
1	CLSPN	35736495	35769869	25
1	AGO4	35808416	35853604	18
1	AGO1	35883421	35919606	19
1	AGO3	35931426	36055744	19
1	AGO3	36004384	36055744	14
1	TEKT2	36084921	36088185	9
1	ADPRHL2	36088904	36093385	6
1	COL8A2	36097568	36100241	2
1	TRAPPC3	36137202	36149377	5
1	THRAP3	36282563	36304016	10
1	EVA1B	36322294	36323036	2
1	STK40	36341754	36361331	10
1	LSM10	36393757	36394128	1
1	OSCP1	36418138	36450368	10
1	OSCP1	36428319	36450368	5
1	MRPS15	36455787	36464274	8
1	CSF3R	36466095	36479495	16
1	CSF3R	36466356	36479495	15
1	CSF3R	36466356	36479495	15
1	CSF3R	36932064	36945096	14
1	GRIK3	36801850	37034107	16
1	ZC3H12A	37475496	37483610	5
1	MEAF6	37494098	37514745	8
1	SNIP1	37537747	37554228	4
1	DNALI1	37556928	37565060	6
1	GNL2	37566854	37595821	16
1	C1orf109	37683122	37689879	4
1	CDCA8	37692690	37708365	10
1	EPHA10	37761366	37765065	3
1	MANEAL	37795775	37800202	2
1	C1orf122	37808404	37809072	3
1	SF3A3	37958185	37989964	17
1	UTP11	38012802	38023627	8
1	RRAGC	38839552	38859645	7
1	MYCBP	38864669	38873304	5
1	GJA9	38874550	38876097	1
1	AKIRIN1	38991380	39004054	5
1	NDUFS5	39028724	39034495	2
1	MACF1	39084218	39485793	93
1	MACF1	39796940	39951465	64
1	BMP8A	39491991	39525797	7
1	PABPC4	39561697	39575950	15
1	HEYL	39626506	39639624	5
1	NT5C1A	39659120	39672037	6
1	HPCAL4	39682535	39684602	3
1	PPIE	39738900	39763741	10
1	PPIE	39738900	39753354	10
1	BMP8B	39760418	39788484	7
