Chr	gene_name	geneStart	geneEnd	exon_name	exonStart	exonEnd
chr1	TNN	175077418	175147070	exon0	175077418	175077826
chr1	TNN	175077418	175147070	exon1	175079332	175079706
chr1	TNN	175077418	175147070	exon2	175080162	175080425
chr1	TNN	175077418	175147070	exon3	175083749	175083934
chr1	TNN	175077418	175147070	exon4	175085404	175085493
chr1	TNN	175077418	175147070	exon5	175093989	175094252
chr1	TNN	175077418	175147070	exon6	175097416	175097682
chr1	TNN	175077418	175147070	exon7	175098331	175098594
chr1	TNN	175077418	175147070	exon8	175116938	175117204
chr1	TNN	175077418	175147070	exon9	175118560	175118823
chr1	TNN	175077418	175147070	exon10	175123399	175123662
chr1	TNN	175077418	175147070	exon11	175126954	175127084
chr1	TNN	175077418	175147070	exon12	175128031	175128163
chr1	TNN	175077418	175147070	exon13	175128594	175128745
chr1	TNN	175077418	175147070	exon14	175135844	175135940
chr1	TNN	175077418	175147070	exon15	175136820	175136987
chr1	TNN	175077418	175147070	exon16	175144386	175144549
chr1	TNN	175077418	175147070	exon17	175146930	175147070
