TNN allele counts and Exon frames

 Printout exons informations for TNN gene:
For gene TNN 
Chr	gene_name	geneStart	geneEnd	exon_name	exonStart	exonEnd
chr1	exon0	175077418	175147070	exon0	175077418	175077826
chr1	exon1	175077418	175147070	exon1	175079332	175079706
chr1	exon2	175077418	175147070	exon2	175080162	175080425
chr1	exon3	175077418	175147070	exon3	175083749	175083934
chr1	exon4	175077418	175147070	exon4	175085404	175085493
chr1	exon5	175077418	175147070	exon5	175093989	175094252
chr1	exon6	175077418	175147070	exon6	175097416	175097682
chr1	exon7	175077418	175147070	exon7	175098331	175098594
chr1	exon8	175077418	175147070	exon8	175116938	175117204
chr1	exon9	175077418	175147070	exon9	175118560	175118823
chr1	exon10	175077418	175147070	exon10	175123399	175123662
chr1	exon11	175077418	175147070	exon11	175126954	175127084
chr1	exon12	175077418	175147070	exon12	175128031	175128163
chr1	exon13	175077418	175147070	exon13	175128594	175128745
chr1	exon14	175077418	175147070	exon14	175135844	175135940
chr1	exon15	175077418	175147070	exon15	175136820	175136987
chr1	exon16	175077418	175147070	exon16	175144386	175144549
chr1	exon17	175077418	175147070	exon17	175146930	175147070



CHROM	Position	AC	PolyPhen
The gene region is: [175077418 -> 175147070] 
got one allele 1	175086080	1	probably
got one allele 1	175086083	1	benign
got one allele 1	175086084	1	benign
got one allele 1	175086086	3	probably
got one allele 1	175086102	2	possibly
got one allele 1	175086107	14	benign
got one allele 1	175086108	3	benign
got one allele 1	175086113	1	probably
got one allele 1	175086117	1	probably
got one allele 1	175086125	1	possibly
got one allele 1	175086131	1	benign
got one allele 1	175086143	2	probably
got one allele 1	175086144	5	probably
got one allele 1	175086149	4	possibly
got one allele 1	175086150	1	benign
got one allele 1	175086153	254	probably
got one allele 1	175086156	1	benign
got one allele 1	175086166	1	benign
got one allele 1	175086168	1	probably
got one allele 1	175086176	5	probably
got one allele 1	175086177	7	benign
got one allele 1	175086189	9	benign
got one allele 1	175086197	2	probably
got one allele 1	175086202	2	benign
got one allele 1	175086212	2	benign
got one allele 1	175086216	106	benign
got one allele 1	175086216	3	possibly
got one allele 1	175086219	9	possibly
got one allele 1	175086222	3	benign
got one allele 1	175086230	1	benign
got one allele 1	175086242	2	benign
got one allele 1	175086248	1	possibly
got one allele 1	175086249	27	benign
got one allele 1	175086252	47	benign
got one allele 1	175086259	4	benign
got one allele 1	175086261	2	probably
got one allele 1	175086266	2	benign
got one allele 1	175086276	1	benign
got one allele 1	175086284	4	benign
got one allele 1	175086284	2	benign
got one allele 1	175086284	1	probably
got one allele 1	175086302	1	benign
got one allele 1	175086303	1	benign
got one allele 1	175086326	1	possibly
got one allele 1	175087699	2	benign
got one allele 1	175087703	2	probably
got one allele 1	175087706	1	benign
got one allele 1	175087707	2	possibly
got one allele 1	175087718	1	probably
